电影中文名,电影外文名,评分,评分人数,导演,主演,类型,制片国家/地区,年份
肖申克的救赎,The Shawshank Redemption,9.7,3298332,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿,犯罪 / 剧情,美国,1994
这个杀手不太冷,Léon,9.4,2560539,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,犯罪 / 剧情,美国,1994
阿甘正传,Forrest Gump,9.5,2439463,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,剧情 / 动作 / 犯罪,法国/美国,1994
霸王别姬,,9.6,2433930,罗伯特·泽米吉斯,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,剧情 / 动作 / 犯罪,法国/美国,1994
盗梦空间,Inception,9.4,2334521,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·辛尼斯,剧情 / 爱情,法国/美国,1994
海上钢琴师,La leggenda del pianista sull'oceano,9.3,1886469,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·辛尼斯,剧情 / 爱情,美国,1994
美丽人生,La vita è bella,9.5,1487833,陈凯歌,张国荣 / 张丰毅 / 巩俐,剧情 / 爱情,美国,1994
三傻大闹宝莱坞,3 Idiots,9.2,2086344,陈凯歌,张国荣 / 张丰毅 / 巩俐,剧情 / 爱情 / 同性,中国大陆/中国香港,1994
辛德勒的名单,Schindler's List,9.5,1251696,克里斯托弗·诺兰,张国荣 / 张丰毅 / 巩俐,剧情 / 爱情 / 同性,中国大陆/中国香港,1993
放牛班的春天,Les choristes,9.3,1479657,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,剧情 / 科幻 / 悬疑 / 冒险,中国大陆/中国香港,1993
龙猫,となりのトトロ,9.2,1416916,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,剧情 / 科幻 / 悬疑 / 冒险,美国/英国,2010
搏击俱乐部,Fight Club,9.0,982027,朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩,剧情 / 科幻 / 悬疑 / 冒险,美国/英国,2010
泰坦尼克号,Titanic,9.5,2509652,朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩,剧情 / 音乐,意大利,2010
教父,The Godfather,9.3,1112762,罗伯托·贝尼尼,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩,剧情 / 音乐,意大利,1998
