id,stats_y_cards,stats_r_cards,event_incident_typefk,elapsed,card_type,subtype,player1,sortorder,team,id,n,original_index
0,1,,73,44,y,serious_fouls,24148,3,10260,902030,289,0
1,1,,73,76,y,serious_fouls,24226,4,8658,902242,330,0
2,1,,79,79,y,verbal_abuse,35443,1,8658,902258,335,0
3,,1,177,85,y2,serious_fouls,24148,0,10260,902281,337,0
69,,1,26,59,y2,,11736,2,8528,1285029,314,23
5,1,,70,79,y,,23034,1,8667,922305,305,2
6,1,,73,17,y,serious_fouls,23678,0,9825,935828,196,3
7,1,,73,24,y,serious_fouls,23271,2,8462,941338,292,4
8,1,,73,29,y,serious_fouls,25421,0,8462,941393,296,4
9,1,,77,36,y,shirt_pull,23939,4,8462,941511,305,4
10,1,,73,78,y,serious_fouls,27335,2,8462,942210,346,4
11,1,,73,82,y,serious_fouls,72735,1,10260,942255,350,4
12,1,,77,26,y,shirt_pull,43248,1,10260,948319,238,5
70,,1,270,61,r,,71550,3,8528,1285066,319,23
14,1,,70,48,y,,24148,0,10260,960202,334,6
15,1,,77,66,y,shirt_pull,24011,0,8668,960260,354,6
16,1,,70,74,y,,36012,0,8668,960305,363,6
17,1,,78,80,y,kicked_ball_away,30735,2,8668,960334,369,6
18,1,,73,87,y,serious_fouls,24006,1,8668,960373,379,6
120,,1,26,90,y2,,30865,1,10260,1436790,368,37
20,1,,73,76,y,serious_fouls,36394,1,8654,967535,320,7
21,1,,73,58,y,serious_fouls,30865,3,10260,982071,245,8
22,1,,70,61,y,,23334,0,8602,982089,246,8
23,1,,73,61,y,serious_fouls,25415,1,8602,982102,247,8
24,1,,73,43,y,serious_fouls,35327,3,10260,994959,274,9
25,1,,73,57,y,serious_fouls,30338,1,9879,995315,293,9
26,1,,77,11,y,shirt_pull,38818,1,8650,1005918,215,10
27,1,,73,25,y,serious_fouls,30853,3,8650,1005972,226,10
28,1,,73,45,y,serious_fouls,30617,2,8650,1006076,243,10
29,1,,70,61,y,,35327,2,10260,1006299,259,10
30,1,,73,73,y,serious_fouls,30865,4,10260,1006376,267,10
31,1,,70,35,y,,30373,1,10260,1025446,313,12
32,1,,73,44,y,serious_fouls,30615,3,10260,1025468,318,12
33,1,,73,71,y,serious_fouls,30686,0,8455,1025647,300,12
34,1,,25,72,y,stall_time,30630,3,8455,1025670,295,12
35,1,,79,85,y,verbal_abuse,24148,0,10260,1025798,278,12
36,1,,73,24,y,serious_fouls,30658,0,8655,1038181,266,13
37,1,,73,70,y,serious_fouls,30615,2,10260,1038943,311,13
38,1,,73,87,y,serious_fouls,24156,3,10260,1039198,324,13
39,1,,70,55,y,,39027,1,8456,1047109,320,14
40,1,,203,57,y,emergency_brake,24159,4,8456,1047119,325,14
41,1,,70,77,y,,32569,1,10260,1047192,355,14
42,1,,203,35,y,emergency_brake,40945,1,10260,1056979,297,15
43,1,,79,41,y,verbal_abuse,30865,0,10260,1071622,276,16
44,1,,505,54,y,Unsportsmanlike Cond,30829,1,10260,1071803,291,16
45,1,,163,56,y,diving,36786,1,8472,1071812,294,16
46,1,,73,81,y,serious_fouls,38802,1,8472,1071971,321,16
47,1,,73,85,y,serious_fouls,30352,1,8472,1071997,331,16
48,1,,73,57,y,serious_fouls,30373,2,10260,1082619,279,17
49,1,,70,79,y,,30865,0,10260,1082986,297,17
50,1,,73,18,y,serious_fouls,24205,2,10261,1132271,255,18
51,1,,77,22,y,shirt_pull,23579,4,10261,1132291,261,18
52,1,,73,52,y,serious_fouls,30373,1,10260,1132436,287,18
53,1,,73,56,y,serious_fouls,24148,1,10260,1132454,293,18
54,1,,70,17,y,,38835,2,8586,1244183,224,19
55,1,,70,30,y,,26108,1,8586,1244246,291,19
56,1,,70,87,y,,31097,0,8586,1244794,303,19
57,1,,163,82,y,diving,70409,2,10260,1259321,315,20
58,1,,70,43,y,,30373,1,10260,1269163,243,21
59,1,,70,72,y,,30362,1,10260,1270197,270,21
60,1,,203,18,y,emergency_brake,161415,2,10252,1272777,318,22
61,1,,505,53,y,Unsportsmanlike Cond,40945,0,10260,1272899,371,22
62,1,,73,61,y,serious_fouls,70409,5,10260,1272938,385,22
63,1,,70,65,y,,30357,2,10252,1272951,389,22
64,1,,70,71,y,,30362,3,10260,1272985,405,22
65,1,,70,73,y,,23354,2,10252,1272994,407,22
66,1,,70,72,y,,30865,3,10260,1273142,436,22
67,1,,203,29,y,emergency_brake,40015,1,8528,1284487,277,23
68,1,,203,31,y,emergency_brake,11736,0,8528,1284518,282,23
130,,1,26,74,y2,,38994,1,10260,1367851,355,40
146,,1,63,76,r,serious_fouls,43248,0,10260,1465926,367,47
71,1,,203,31,y,emergency_brake,30658,2,8655,1298171,234,24
72,1,,505,45,y,Unsportsmanlike Cond,23927,1,8655,1298490,244,24
73,1,,73,44,y,serious_fouls,25537,0,9825,1330782,212,25
74,1,,73,45,y,serious_fouls,3520,1,9825,1330800,175,25
75,1,,70,73,y,,26181,1,9825,1330941,201,25
76,1,,73,85,y,serious_fouls,23678,0,9825,1330983,235,25
77,1,,70,20,y,,36786,0,8472,1342399,202,26
78,1,,73,73,y,serious_fouls,131583,0,8472,1343139,224,26
79,1,,73,39,y,serious_fouls,35327,1,10260,1139701,344,27
80,1,,70,68,y,,43248,5,10260,1139959,385,27
81,1,,79,73,y,verbal_abuse,34574,0,9879,1139982,392,27
82,1,,203,90,y,emergency_brake,24664,1,9879,1140143,431,27
83,1,,176,26,y,violence,40961,1,10260,1345373,229,28
84,1,,505,26,y,Unsportsmanlike Cond,25075,2,8658,1345374,272,28
85,1,,73,29,y,serious_fouls,33049,2,8658,1345379,224,28
86,1,,70,30,y,,30865,2,10260,1345423,283,28
87,1,,203,76,y,emergency_brake,23837,1,8658,1345490,278,28
88,1,,79,90,y,verbal_abuse,24154,4,10260,1345529,290,28
89,1,,70,20,y,,37169,1,8654,1145493,254,29
90,1,,77,58,y,shirt_pull,23818,1,8654,1145658,298,29
91,1,,508,70,y,Removing Shirt,27430,0,10260,1145720,312,29
92,1,,73,45,y,serious_fouls,24154,1,10260,1156213,307,30
93,1,,505,51,y,Unsportsmanlike Cond,30839,1,8668,1156235,317,30
94,1,,203,57,y,emergency_brake,30829,2,10260,1175683,298,31
95,1,,70,63,y,,43248,2,10260,1175758,309,31
96,1,,70,66,y,,41175,1,8650,1175776,320,31
97,1,,70,68,y,,30373,7,10260,1175793,322,31
98,1,,70,69,y,,24150,1,10260,1175798,326,31
99,1,,70,75,y,,30373,1,10260,1189138,380,32
100,1,,70,80,y,,155384,2,8559,1189192,378,32
101,1,,70,83,y,,30865,2,10260,1189215,384,32
102,1,,70,16,y,,30865,5,10260,1201056,267,33
103,1,,70,90,y,,38994,4,10260,1202408,358,33
104,1,,203,90,y,emergency_brake,34275,0,8472,1202412,359,33
105,1,,70,39,y,,23282,0,8659,1214351,272,34
106,1,,203,59,y,emergency_brake,24156,1,10260,1214758,301,34
107,1,,70,79,y,,36373,2,8659,1215081,321,34
108,1,,70,34,y,,30615,1,10260,1233468,284,35
109,1,,73,40,y,serious_fouls,30373,4,10260,1233555,307,35
110,1,,70,50,y,,24408,1,10194,1233995,316,35
111,1,,73,66,y,serious_fouls,47418,1,10194,1234174,297,35
112,1,,176,45,y,violence,30373,2,10260,1380333,368,36
113,1,,70,45,y,,24156,1,10260,1380352,377,36
114,1,,70,62,y,,39109,1,8483,1380603,311,36
115,1,,70,13,y,,79574,4,8455,1436166,260,37
116,1,,203,45,y,emergency_brake,30865,1,10260,1436383,339,37
117,1,,70,61,y,,52133,0,8455,1436552,319,37
118,1,,203,74,y,emergency_brake,30675,3,8455,1436675,370,37
119,1,,70,90,y,,24154,1,10260,1436786,366,37
190,,1,26,79,y2,,33852,1,10261,1793509,377,60
121,1,,70,83,y,,70409,1,10260,1346459,228,38
122,1,,70,84,y,,150176,1,10260,1346462,230,38
123,1,,70,88,y,,23257,4,8659,1346472,238,38
124,1,,70,90,y,,30865,1,10260,1346478,239,38
125,1,,78,21,y,kicked_ball_away,30840,2,8586,1367520,292,40
126,1,,73,28,y,serious_fouls,38994,0,10260,1367570,303,40
127,1,,70,37,y,,97988,1,8586,1367618,312,40
128,1,,70,45,y,,24148,3,10260,1367649,323,40
129,1,,70,57,y,,32569,3,10260,1367768,329,40
199,,1,63,40,r,serious_fouls,77727,1,8528,1854129,222,65
131,1,,79,74,y,verbal_abuse,30829,2,10260,1367856,356,40
132,1,,203,42,y,emergency_brake,35466,1,8602,1397997,309,43
133,1,,203,50,y,emergency_brake,25421,4,8602,1398290,325,43
134,1,,70,66,y,,30829,2,10260,1398524,339,43
135,1,,70,85,y,,30373,2,10260,1398665,367,43
136,1,,73,19,y,serious_fouls,39027,1,8456,1403795,259,44
137,1,,73,42,y,serious_fouls,38807,1,8456,1403847,287,44
138,1,,70,66,y,,30373,1,10260,1403936,315,44
139,1,,70,88,y,,24154,1,10260,1404041,340,44
140,1,,505,69,y,Unsportsmanlike Cond,70409,2,10260,1430001,347,45
141,1,,70,45,y,,30617,1,8650,1443996,278,46
142,1,,79,45,y,verbal_abuse,30726,0,10260,1444016,280,46
143,1,,70,45,y,,38994,0,10260,1444059,284,46
144,1,,176,45,y,violence,22764,1,8650,1444064,285,46
145,1,,203,83,y,emergency_brake,30373,3,10260,1444752,336,46
213,,1,326,77,y2,pushing,214685,1,9825,1626361,265,68
147,1,,505,33,y,Unsportsmanlike Cond,24156,2,10260,1479777,274,48
148,1,,203,41,y,emergency_brake,30865,2,10260,1479805,276,48
149,1,,70,59,y,,39658,1,8654,1479877,334,48
150,1,,70,45,y,,34944,1,10260,1512736,309,50
151,1,,203,64,y,emergency_brake,38373,1,10261,1512859,342,50
152,1,,70,77,y,,24899,1,10261,1512906,351,50
153,1,,505,90,y,Unsportsmanlike Cond,70409,1,10260,1512969,359,50
154,1,,70,54,y,,40961,1,10260,1517100,331,51
155,1,,70,55,y,,30876,2,8668,1517103,346,51
156,1,,25,82,y,stall_time,31465,1,8668,1517300,379,51
157,1,,505,40,y,Unsportsmanlike Cond,30829,3,10260,1533498,256,52
158,1,,505,62,y,Unsportsmanlike Cond,23678,1,9825,1533987,284,52
159,1,,505,66,y,Unsportsmanlike Cond,30802,1,10260,1534053,288,52
160,1,,73,76,y,serious_fouls,150176,3,10260,1534242,299,52
161,1,,505,90,y,Unsportsmanlike Cond,75489,1,9825,1534497,312,52
162,1,,70,12,y,,31306,1,8455,1545364,247,53
163,1,,70,39,y,,30829,1,10260,1545602,275,53
164,1,,203,43,y,emergency_brake,30675,1,8455,1545623,278,53
165,1,,25,83,y,stall_time,24154,1,10260,1545815,327,53
166,1,,70,86,y,,79574,2,8455,1545834,333,53
167,1,,70,90,y,,30822,1,8455,1545860,339,53
168,1,,70,19,y,,27483,0,8655,1551220,146,54
169,1,,73,37,y,serious_fouls,109621,1,8655,1551388,154,54
170,1,,70,73,y,,30658,5,8655,1551892,186,54
171,1,,70,34,y,,24148,1,10260,1564970,267,55
172,1,,70,69,y,,30619,1,10260,1565851,301,55
173,1,,70,76,y,,40563,1,8483,1566030,318,55
174,1,,70,38,y,,23922,1,8659,1607330,313,56
175,1,,70,56,y,,23354,3,10260,1607576,324,56
176,1,,79,78,y,verbal_abuse,40961,2,10260,1607713,330,56
177,1,,70,86,y,,25005,2,8659,1607754,347,56
178,1,,163,90,y,diving,40553,1,8659,1607787,348,56
179,1,,70,26,y,,109058,1,8668,1741416,251,57
229,,1,65,47,r,emergency_brake,43248,1,10260,1731433,303,74
181,1,,70,90,y,,39618,2,8668,1741796,314,57
182,1,,70,41,y,,35443,2,8472,1759981,242,58
183,1,,70,45,y,,242308,1,8472,1760096,252,58
184,1,,73,47,y,serious_fouls,32569,1,10260,1779187,319,59
185,1,,505,27,y,Unsportsmanlike Cond,26163,0,10261,1792331,301,60
186,1,,505,52,y,Unsportsmanlike Cond,26160,1,10261,1792917,306,60
187,1,,70,54,y,,150176,2,10260,1792958,347,60
188,1,,70,65,y,,33852,1,10261,1793211,364,60
189,1,,70,67,y,,40565,1,10261,1793265,343,60
263,,1,26,66,y2,,26527,1,8659,1990495,284,83
265,,1,26,39,y2,,40022,3,8602,2000704,253,84
192,1,,70,90,y,,30620,0,10260,1826561,367,62
193,1,,79,18,y,verbal_abuse,30620,0,10260,1843097,336,63
270,,1,65,14,r,emergency_brake,23070,4,10172,2042629,244,87
195,1,,70,61,y,,186137,3,10260,1843310,312,63
196,1,,203,63,y,emergency_brake,43247,1,9879,1852186,243,64
197,1,,70,22,y,,25415,1,8528,1853946,202,65
198,1,,70,24,y,,43248,1,10260,1853968,205,65
303,,1,26,69,y2,,143793,1,9825,2454545,309,95
200,1,,505,62,y,Unsportsmanlike Cond,24154,2,10260,1854752,274,65
201,1,,203,11,y,emergency_brake,40945,2,10260,1855753,270,66
202,1,,70,23,y,,34944,1,10260,1855781,294,66
203,1,,70,47,y,,241728,1,8655,1855853,338,66
204,1,,70,56,y,,155355,1,8655,1855875,366,66
205,1,,70,37,y,,43248,1,10260,1618159,294,67
206,1,,203,40,y,emergency_brake,24531,0,8586,1618165,298,67
207,1,,70,90,y,,30348,6,8586,1618323,368,67
208,1,,505,15,y,Unsportsmanlike Cond,3520,1,9825,1625734,194,68
209,1,,79,26,y,verbal_abuse,23354,0,10260,1625872,237,68
210,1,,325,40,y,pushing,214685,2,9825,1626003,211,68
211,1,,73,26,y,serious_fouls,43248,1,10260,1626077,244,68
212,1,,325,63,y,pushing,30986,1,9825,1626290,222,68
344,,1,270,39,r,,127130,1,8650,2370902,290,109
214,1,,73,13,y,serious_fouls,23934,3,8559,1637885,267,69
215,1,,203,20,y,emergency_brake,155384,1,8559,1637957,280,69
216,1,,70,49,y,,79574,2,8455,1661444,303,70
217,1,,79,56,y,verbal_abuse,30627,0,8455,1661536,316,70
218,1,,79,78,y,verbal_abuse,38834,0,8455,1661710,355,70
219,1,,70,80,y,,35327,2,10260,1661728,388,70
220,1,,203,85,y,emergency_brake,24148,1,10260,1661767,373,70
221,1,,70,7,y,,23253,1,10194,1672646,265,71
222,1,,70,71,y,,113836,3,10260,1690124,347,72
223,1,,643,28,y,advantage,95327,2,8650,1708585,292,73
224,1,,70,43,y,,23354,1,10260,1708631,306,73
225,1,,70,54,y,,30620,0,10260,1708685,322,73
226,1,,79,65,y,verbal_abuse,32569,0,10260,1708720,335,73
227,1,,508,23,y,Removing Shirt,108808,0,8456,1730946,270,74
228,1,,203,41,y,emergency_brake,39027,1,8456,1731144,297,74
360,,1,65,63,r,emergency_brake,31306,1,8455,2444269,328,113
230,1,,70,62,y,,40961,1,10260,1731660,345,74
231,1,,70,67,y,,32569,4,10260,1731720,340,74
232,1,,70,79,y,,165823,1,10260,1731905,337,74
233,1,,70,83,y,,113836,1,10260,1731993,352,74
234,1,,203,86,y,emergency_brake,24208,1,8456,1732062,324,74
235,1,,505,75,y,Unsportsmanlike Cond,15403,2,8456,1735059,347,74
236,1,,203,46,y,emergency_brake,186137,4,10260,1861359,259,75
237,1,,70,61,y,,35327,2,10260,1861449,277,75
238,1,,203,81,y,emergency_brake,38373,1,10261,1861559,295,75
239,1,,70,21,y,,40128,3,8559,1872268,244,76
240,1,,203,43,y,emergency_brake,75489,1,9825,1893798,304,77
361,,1,164,69,y2,diving,30853,1,8455,2444323,332,113
242,1,,70,73,y,,46539,1,9825,1894206,339,77
243,1,,79,85,y,verbal_abuse,30843,1,9825,1894342,347,77
244,1,,70,86,y,,31435,4,9825,1894352,355,77
245,1,,70,90,y,,32569,4,10260,1894397,357,77
246,1,,643,90,y,advantage,23678,3,9825,1894435,368,77
247,1,,79,37,y,verbal_abuse,23369,3,10194,1909261,236,78
248,1,,70,43,y,,30373,2,10260,1909287,245,78
249,1,,70,52,y,,33881,1,10194,1909485,251,78
250,1,,70,82,y,,38899,0,10194,1909868,288,78
251,1,,70,31,y,,30853,1,8455,1920538,282,79
252,1,,70,45,y,,31306,2,8455,1920645,300,79
253,1,,70,50,y,,32569,1,10260,1920768,308,79
254,1,,70,44,y,,30892,2,8650,1928382,262,80
255,1,,70,80,y,,34944,1,10260,1928471,242,80
256,1,,70,10,y,,24583,1,9850,1962979,254,81
257,1,,70,48,y,,43248,4,10260,1963414,298,81
258,1,,70,90,y,,30620,0,10260,1964038,346,81
259,1,,70,28,y,,186137,4,10260,1977198,247,82
