中文电影名,外文电影名,电影评分,评分人数,电影简介,电影详情
[[肖申克的救赎,The Shawshank Redemption,9.7,2410222,希望让人自由。,导演: 弗兰克·德拉邦特 Frank Darabont主演: 蒂姆·罗宾斯 Tim Robbins  ... 1994 美国 犯罪 剧情
霸王别姬,缺失,9.6,1793718,风华绝代。,导演: 陈凯歌 Kaige Chen主演: 张国荣 Leslie Cheung   张丰毅 Fengyi Zha... 1993 中国大陆 中国香港 剧情 爱情 同性
阿甘正传,Forrest Gump,9.5,1814052,一部美国近现代史。,导演: 罗伯特·泽米吉斯 Robert Zemeckis主演: 汤姆·汉克斯 Tom Hanks   ... 1994 美国 剧情 爱情
这个杀手不太冷,Léon,9.4,1982399,怪蜀黍和小萝莉不得不说的故事。,导演: 吕克·贝松 Luc Besson主演: 让·雷诺 Jean Reno   娜塔莉·波特曼 ... 1994 法国 美国 剧情 动作 犯罪
泰坦尼克号,Titanic,9.4,1775480,失去的才是永恒的。,导演: 詹姆斯·卡梅隆 James Cameron主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997 美国 墨西哥 澳大利亚 加拿大 剧情 爱情 灾难
美丽人生,La vita è bella,9.6,1112920,最美的谎言。,导演: 罗伯托·贝尼尼 Roberto Benigni主演: 罗伯托·贝尼尼 Roberto Beni... 1997 意大利 剧情 喜剧 爱情 战争
千与千寻,千と千尋の神隠し,9.4,1892709,最好的宫崎骏，最好的久石让。,导演: 宫崎骏 Hayao Miyazaki主演: 柊瑠美 Rumi Hîragi   入野自由 Miy... 2001 日本 剧情 动画 奇幻
辛德勒的名单,""" Schindlers List""",9.5,925279,拯救一个人，就是拯救整个世界。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 连姆·尼森 Liam Neeson... 1993 美国 剧情 历史 战争
盗梦空间,Inception,9.3,1746097,诺兰给了我们一场无法盗取的梦。,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 莱昂纳多·迪卡普里奥 Le... 2010 美国 英国 剧情 科幻 悬疑 冒险
忠犬八公的故事,""" Hachi: A Dogs Tale""",9.4,1200595,永远都不能忘记你所爱的人。,导演: 莱塞·霍尔斯道姆 Lasse Hallström主演: 理查·基尔 Richard Ger... 2009 美国 英国 剧情
