f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
0,1,,,147,25,shot,30829,0,10260,901913,263,0
1,0,,,61,32,blocked_shot,30829,0,10260,901939,266,0
2,0,,,61,34,blocked_shot,24148,3,10260,901957,271,0
3,0,,,61,36,blocked_shot,34944,1,10260,901970,274,0
4,0,,,61,37,blocked_shot,38994,1,10260,901979,275,0
5,1,,,135,37,shot,34944,2,10260,901980,276,0
6,1,,,311,39,deflected,31953,1,8658,901988,279,0
7,1,,,153,49,shot,31073,0,8658,902120,293,0
8,1,,,154,56,header,30362,1,10260,902166,306,0
9,0,,,62,56,blocked_shot,,2,10260,902167,307,0
10,0,,,61,63,blocked_shot,30829,0,10260,902199,312,0
11,0,,,61,63,blocked_shot,30373,1,10260,902200,313,0
12,1,,,136,69,header,30373,0,10260,902207,317,0
13,1,,,153,72,shot,31073,4,8658,902217,321,0
14,0,,,157,77,direct_freekick,30829,0,10260,902248,195,0
15,1,,,135,80,shot,32569,1,10260,902264,334,0
16,1,,,232,85,shot,,1,8658,902282,338,0
17,1,,,136,90,header,23787,0,8658,902328,347,0
18,0,,,61,8,blocked_shot,27430,0,10260,910387,210,1
19,0,,,61,20,blocked_shot,38856,0,8191,910513,218,1
20,1,,,137,21,distance,40945,0,10260,910529,220,1
21,0,,,61,24,blocked_shot,30373,1,10260,910555,221,1
22,1,,,136,24,header,30829,3,10260,910558,223,1
23,1,,,151,45,bicycle_kick,40945,4,10260,910824,247,1
24,1,,,136,46,header,30373,2,10260,910959,253,1
25,1,,,137,47,distance,40945,0,10260,910964,254,1
26,1,,,137,49,distance,38856,0,8191,910990,255,1
27,1,,,137,53,distance,23190,0,8191,911037,257,1
28,1,,,135,66,shot,38856,2,8191,911215,269,1
29,0,,,61,67,blocked_shot,27430,2,10260,911227,271,1
30,1,,,153,69,shot,27430,0,10260,911247,272,1
31,1,,,136,72,header,23190,1,8191,911284,275,1
32,0,,,61,76,blocked_shot,11496,0,8191,911348,283,1
33,1,,,137,81,distance,40961,0,10260,911405,286,1
34,0,,,157,90,direct_freekick,34230,0,8191,911561,191,1
35,0,,,61,90,blocked_shot,11496,0,8191,911566,297,1
36,1,,,155,8,distance,30373,2,10260,921625,271,2
37,0,,,61,9,blocked_shot,30829,0,10260,921632,273,2
38,0,,,494,17,blocked_shot,39073,0,8667,921716,272,2
39,1,,,147,18,shot,23025,1,8667,921725,292,2
40,0,,,61,19,blocked_shot,23025,3,8667,921736,290,2
41,1,,,136,24,header,30620,0,10260,921768,278,2
42,0,,,61,28,blocked_shot,24148,1,10260,921795,249,2
43,0,,,61,29,blocked_shot,30802,0,10260,921796,300,2
44,1,,,153,29,shot,30619,1,10260,921797,247,2
45,1,,,135,45,shot,30619,1,10260,921915,312,2
46,1,,,136,45,header,30619,1,10260,921938,322,2
47,0,,,61,67,blocked_shot,30802,1,10260,922207,333,2
48,0,,,157,82,direct_freekick,40945,1,10260,922329,184,2
49,1,,,135,90,shot,38816,1,8667,922416,337,2
50,1,,,135,27,shot,30829,2,10260,935888,202,3
51,1,,,312,29,deflected,40945,2,10260,935907,205,3
52,1,,,36,50,distance,30829,0,10260,936192,224,3
53,1,,,135,56,shot,30613,3,9825,936260,231,3
54,1,,,137,58,distance,23678,0,9825,936271,230,3
55,1,,,147,13,shot,38368,3,8462,941172,281,4
56,1,,,137,14,distance,40987,1,8462,941182,278,4
57,0,,,61,16,blocked_shot,34944,0,10260,941203,279,4
58,0,,,61,21,blocked_shot,30829,0,10260,941282,288,4
59,1,,,312,23,deflected,30829,0,10260,941313,290,4
60,1,,,141,34,shot,40987,1,8462,941466,301,4
61,0,,,61,45,blocked_shot,26347,1,8462,941692,316,4
62,1,,,147,55,shot,35327,3,10260,941906,323,4
63,1,,,136,61,header,27430,5,10260,941988,331,4
64,1,,,137,77,distance,24156,0,10260,942193,343,4
65,0,,,61,89,blocked_shot,72735,0,10260,942339,351,4
66,0,,,61,90,blocked_shot,40004,1,8462,942403,354,4
67,0,,,157,8,direct_freekick,40945,1,10260,948029,37,5
68,0,,,61,13,blocked_shot,38807,0,10252,948085,255,5
69,0,,,61,21,blocked_shot,30373,1,10260,948232,218,5
70,1,,,311,23,deflected,24154,1,10260,948261,234,5
71,0,,,61,33,blocked_shot,38807,3,10252,948423,241,5
72,1,,,150,35,volley,34944,2,10260,948463,232,5
73,0,,,61,56,blocked_shot,30829,2,10260,948897,258,5
74,1,,,135,58,shot,38807,1,10252,948934,257,5
75,1,,,136,60,header,23264,1,10252,948957,289,5
76,0,,,61,66,blocked_shot,34944,1,10260,949078,283,5
77,1,,,149,75,distance,30829,0,10260,949237,300,5
78,1,,,137,14,distance,30735,0,8668,960002,281,6
79,0,,,494,24,blocked_shot,36012,0,8668,960049,294,6
80,1,,,137,28,distance,30802,1,10260,960073,302,6
81,1,,,551,38,big chance shot,30700,2,8668,960127,322,6
82,0,,,61,64,blocked_shot,27430,0,10260,960253,350,6
83,0,,,61,81,blocked_shot,30700,1,8668,960340,371,6
84,1,,,137,21,distance,41475,0,8654,967099,257,7
85,1,,,153,26,shot,35327,0,10260,967129,267,7
86,1,,,135,26,shot,24156,2,10260,967131,334,7
87,1,,,137,33,distance,24156,0,10260,967169,250,7
88,1,,,136,34,header,23818,1,8654,967174,272,7
89,1,,,149,34,distance,24156,2,10260,967175,275,7
90,1,,,137,36,distance,24156,0,10260,967179,276,7
91,1,,,137,41,distance,37169,0,8654,967191,265,7
92,1,,,8,59,header,30829,0,10260,967391,348,7
93,1,,,143,60,distance,30829,3,10260,967406,321,7
94,0,,,61,60,blocked_shot,38491,5,8654,967412,301,7
95,1,,,135,65,shot,30373,2,10260,967440,349,7
96,1,,,137,68,distance,41475,2,8654,967467,319,7
97,0,,,61,82,blocked_shot,38491,0,8654,967551,330,7
98,1,,,137,84,distance,34590,4,8654,967562,351,7
99,0,,,61,90,blocked_shot,38491,0,8654,967571,344,7
100,0,,,494,15,blocked_shot,40945,0,10260,981530,200,8
101,0,,,61,16,blocked_shot,131409,5,8602,981551,213,8
102,1,,,138,20,volley,24156,2,10260,981587,209,8
103,1,,,135,30,shot,34944,1,10260,981621,217,8
104,1,,,312,32,deflected,25415,2,8602,981641,229,8
105,1,,,136,36,header,33138,1,8602,981670,220,8
106,0,,,61,45,blocked_shot,131409,0,8602,981756,228,8
107,0,,,61,47,blocked_shot,27430,3,10260,981950,231,8
108,0,,,61,57,blocked_shot,23099,1,8602,982060,241,8
109,0,,,494,59,blocked_shot,25415,0,8602,982083,243,8
110,0,,,61,64,blocked_shot,23099,1,8602,982123,250,8
111,1,,,137,2,distance,30956,1,9879,994656,301,9
112,0,,,61,3,blocked_shot,40945,0,10260,994659,292,9
113,0,,,61,15,blocked_shot,30338,5,9879,994749,309,9
114,1,,,155,30,distance,30829,1,10260,994824,327,9
115,0,,,61,32,blocked_shot,40945,4,10260,994841,273,9
116,1,,,136,34,header,30829,2,10260,994856,298,9
117,1,,,137,35,distance,30956,1,9879,994861,294,9
118,0,,,61,35,blocked_shot,24148,6,10260,994868,288,9
119,1,,,137,37,distance,40945,5,10260,994892,330,9
120,0,,,61,39,blocked_shot,34944,2,10260,994912,308,9
121,0,,,61,42,blocked_shot,27430,3,10260,994947,278,9
122,1,,,137,49,distance,34574,2,9879,995196,287,9
123,1,,,137,53,distance,40945,0,10260,995254,326,9
124,1,,,153,55,shot,30829,0,10260,995277,337,9
125,0,,,61,55,blocked_shot,30829,1,10260,995278,354,9
126,0,,,61,56,blocked_shot,30829,0,10260,995300,295,9
