,用户ID,出生日期,性别
0,2757,2013-03-11,1
1,415971,2012-11-11,0
2,1372572,2012-01-30,1
3,10339332,2011-09-10,0
4,10642245,2013-02-13,0
5,10923201,2011-08-30,1
6,11768880,2012-01-07,1
7,12519465,2013-07-05,1
8,12950574,2009-07-08,0
9,13735440,2012-03-23,0
10,14510892,2014-08-12,1
11,14905422,2011-04-29,1
12,15786531,2008-09-22,0
13,16265490,2009-12-09,0
14,17431245,2011-01-15,0
15,18190851,2011-01-01,0
16,20087991,2010-08-08,0
17,20570454,2008-10-17,1
18,21137271,2011-02-04,1
19,21415917,2006-08-01,1
20,21887268,2010-05-26,0
21,22602471,2009-06-01,1
22,23208537,2008-04-16,1
23,23927133,2008-10-29,0
24,24829944,2014-08-26,1
25,25807593,2014-11-22,1
26,26629842,2013-11-24,0
27,27213666,2008-04-13,0
28,30595206,2007-09-18,0
29,31235454,2011-03-19,0
30,31795068,2007-11-24,0
31,33062883,2010-08-14,1
32,34582044,2012-11-01,0
33,34911780,2010-03-02,1
34,35831517,2011-07-08,0
35,37273026,2012-02-12,1
36,38061660,2011-12-03,1
37,40305507,2011-10-17,1
38,41643429,2014-03-22,1
39,42687654,2009-05-15,1
40,43241697,2012-05-12,0
41,44716356,2013-02-11,0
42,46013049,2014-04-08,1
43,46951908,2009-12-17,1
44,47742510,2014-07-27,0
45,48655521,2011-01-01,0
46,49167150,2013-08-18,2
47,49983255,2014-02-06,2
48,50238258,2010-12-06,1
49,51103674,2011-08-17,0
50,51880578,2011-01-07,0
51,52529655,2013-06-11,2
52,52744851,2012-08-22,1
53,53433471,2012-09-03,1
54,54855720,2013-01-28,0
55,55875510,2012-08-03,0
56,56663970,2009-11-16,1
57,57494340,2014-05-18,0
58,57711375,2013-04-20,2
59,58199199,2011-07-02,0
60,58463787,2010-09-28,1
61,59069103,2006-04-13,0
62,59596068,2013-04-28,1
63,60387171,2013-02-16,1
64,61079421,2013-05-01,1
65,61620681,2013-03-08,0
66,62879667,2011-12-05,0
67,64343163,2010-01-23,1
68,65312343,2009-06-27,1
69,66248748,2012-09-08,0
70,66755460,2011-03-07,1
71,67443207,2008-01-01,0
72,67985523,2012-07-13,0
73,69057729,2011-01-05,1
74,69435486,2012-08-21,1
75,70069665,2010-04-15,0
76,70835010,2014-05-22,0
77,71726532,2011-05-15,0
78,72231900,2011-02-21,0
79,72746697,2014-02-22,1
80,73291425,2010-06-28,0
81,74459175,2013-03-09,0
82,75343881,2012-02-25,0
83,75613245,2011-11-22,1
84,76580427,2012-03-07,1
85,77933013,2010-07-02,1
86,78375309,2013-03-22,1
87,78962691,2013-02-18,0
88,80014536,2012-06-15,1
89,80512596,2013-02-08,0
90,81793389,2013-09-04,0
91,82783545,2014-04-16,1
92,83472357,2013-01-20,1
93,84835944,2011-10-08,0
94,86731623,2013-12-26,0
95,87659835,2011-09-30,1
96,88290456,2009-01-18,0
97,89520261,1984-06-16,0
98,91177545,2010-02-03,0
99,92116962,2012-05-26,1
100,93332442,2011-11-02,0
101,94472106,2009-11-05,0
102,95428725,2012-03-31,0
103,96476817,2012-08-13,0
104,97489185,2014-04-29,1
105,98246781,2012-06-18,1
106,99665637,2013-09-26,2
107,102088293,2013-05-25,1
108,105361095,2013-01-16,1
109,106828323,2014-02-01,0
110,109404219,2007-04-09,0
111,111621945,2013-08-09,1
112,113243127,2011-02-26,0
113,114558810,2008-09-14,0
114,115930791,2013-05-19,0
115,116466705,2013-01-01,0
116,118300134,2011-05-03,0
117,119784861,2012-03-27,0
118,123044613,2011-12-10,1
119,124527924,2011-09-30,1
120,126581934,2011-05-19,0
121,127931487,2012-07-03,0
122,130211481,2008-12-09,0
123,131021484,2009-10-08,0
124,132357204,2011-11-25,1
125,133595268,2011-09-19,1
126,136997100,2013-01-13,1
127,138180945,2008-09-28,0
128,139924698,2012-01-17,1
129,141595593,2008-12-22,0
130,143220732,2008-12-16,1
131,150404943,2005-06-18,0
132,151742451,2014-01-21,2
133,154930665,2011-02-18,0
134,155969997,2012-05-05,0
135,159129426,2010-08-25,0
136,163555902,2009-05-02,1
137,166937481,2013-06-20,1
138,172453374,2013-02-06,1
139,174880005,2007-09-10,0
140,180473754,2013-05-22,0
141,186418698,2012-01-18,1
142,188799366,2011-11-30,1
143,191156136,2013-04-15,0
144,196293483,2010-01-17,1
145,197066280,2008-05-10,0
146,198339735,2011-01-28,0
147,199354107,2010-03-10,1
148,201402855,2008-12-18,0
149,211057395,2008-03-11,0
150,219658557,2013-02-20,1
151,224653845,2011-11-14,1
152,229407174,2008-12-23,0
153,235795692,2013-04-25,0
154,241837911,2012-12-25,0
155,250900287,2013-07-08,1
156,255635397,2013-06-07,1
157,260087412,2013-03-09,0
158,264579453,2014-05-12,0
159,267910347,2007-11-21,0
160,272757969,2011-02-24,0
161,275261625,2010-05-25,0
162,276219687,2013-05-29,1
163,277629531,2013-08-30,2
164,279722190,2009-03-18,0
165,286307391,2011-10-09,0
166,292966044,2010-09-16,1
167,300931383,2013-12-19,0
168,305489040,2013-08-11,1
169,316263477,2011-07-17,1
170,322204938,2013-06-26,0
171,325759617,2010-08-12,1
172,326454822,2009-04-03,1
173,332182758,2012-07-14,1
174,338734269,2013-09-26,1
175,343603914,2013-02-25,1
176,348109281,2010-02-08,1
177,352463907,2011-04-02,0
178,354804408,2013-03-27,0
179,357851268,2012-06-21,1
180,359890617,2014-03-24,0
181,360647838,2014-01-20,0
182,363164958,2014-12-29,0
183,367595379,2010-09-23,1
184,371646807,2014-09-15,1
185,373726419,2013-08-28,0
186,378028878,2012-02-08,0
187,379910739,2011-02-26,0
188,384841734,2012-08-30,1
189,387079260,2013-10-18,1
190,389377821,2014-05-20,0
191,393226650,2013-04-25,1
192,396311979,2011-09-26,1
193,403609077,2011-08-02,0
194,405674478,2012-10-28,1
195,408325776,2014-05-05,0
